image,video_path,title,duration,views,date_posted,title_lower,series,error,days_since_posted,views_int,duration_sec,duration_min
https://i.ytimg.com/vi/AR4UgRJOUQY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDUDYPERBinFCJeoOE965tQwUh1DA,/watch?v=AR4UgRJOUQY,What Does Your Search History Say About You?,      5:00    ,2.3M ,2 years ago,what does your search history say about you?,None,True,730,2300000,250,4.17
https://i.ytimg.com/vi/-h2xWLbXkT8/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA4ZTm1JzRQzO_t_uGpssCd8lGe8g,/watch?v=-h2xWLbXkT8,Is Your Sexual Fantasy Normal? (SFW),      3:38    ,3.2M ,2 years ago,is your sexual fantasy normal? (sfw),None,True,730,3200000,188,3.13
https://i.ytimg.com/vi/7knPYg5S4hY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCXbDnnRlGbOM3KpalcDZWIud2fHA,/watch?v=7knPYg5S4hY,What If Everyone Lived Like Americans?,      4:00    ,2.1M ,2 years ago,what if everyone lived like americans?,None,True,730,2100000,200,3.33
https://i.ytimg.com/vi/sicVlnf1Bws/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-lqE1HnM1auO1erZwEs5-JOX20w,/watch?v=sicVlnf1Bws,Are You Above Or Below Average?,      3:35    ,8.1M ,2 years ago,are you above or below average?,None,True,730,8100000,185,3.08
https://i.ytimg.com/vi/jVQ3zAfe2aw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLC5_4YYVe2cHg5JA_2UtirgtD-byw,/watch?v=jVQ3zAfe2aw,Is Yoga Actually Good For You? | SciSKETCH,      3:40    ,296K ,2 years ago,is yoga actually good for you? | scisketch, SciSKETCH,False,730,29600000,190,3.17
https://i.ytimg.com/vi/IPrndNZ4m6w/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBumQmOtZxjYE9AA8NgJS2-SYqfnQ,/watch?v=IPrndNZ4m6w,This Much Will Kill You pt.2,      3:21    ,4.9M ,2 years ago,this much will kill you pt.2,None,True,730,4900000,171,2.85
https://i.ytimg.com/vi/k6p1nmOnILA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLABmsCiXTxHScQukyLPG7-h_FhP0w,/watch?v=k6p1nmOnILA,Does Everybody Have A Gay Gene?,      4:13    ,3M ,2 years ago,does everybody have a gay gene?,None,True,730,3000000,213,3.55
https://i.ytimg.com/vi/cRWix4e0DzI/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAXvsh0Yz4fYqboZoX36AhvH8rIkw,/watch?v=cRWix4e0DzI,How To Live To 100,      4:05    ,1.8M ,2 years ago,how to live to 100,None,True,730,1800000,205,3.42
https://i.ytimg.com/vi/Q8uFbbSq1W4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCKWeDYx16Cg4GliqNxoLD4ywdYfw,/watch?v=Q8uFbbSq1W4,The Healthiest Drink In The World | The LAB ft. Grace Helbig,      4:23    ,511K ,2 years ago,the healthiest drink in the world | the lab ft. grace helbig, The LAB ft. Grace Helbig,False,730,51100000,223,3.72
https://i.ytimg.com/vi/C0tW8FWBm1g/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBCKPDIpzAEYEkRdvrt8G0rg0Yi1Q,/watch?v=C0tW8FWBm1g,Your Brain On Fentanyl (FIXED),      3:45    ,2.7M ,2 years ago,your brain on fentanyl (fixed),None,True,730,2700000,195,3.25
