,image,video_path,title,duration,views,date_posted
24,https://i.ytimg.com/vi/GbROEobw4Z4/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAnmKaZonR2seOrIqt8Lks87jscLA,/watch?v=GbROEobw4Z4,Restaurant Style Dish! Chinese Shrimp & Tofu Pot 虾仁豆腐煲 | Chinese Shrimp / Prawn & Tofu Recipe,"
      6:21
    ",34K views,4 months ago
25,https://i.ytimg.com/vi/lsW4fz1C0Qs/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLACSWsNaWih2A6LBDPR6SYV29qhaw,/watch?v=lsW4fz1C0Qs,The Juicest Oven-Baked Stuffed Chinese Roast Chicken w/ Glutinous Rice 糯米雞 Lor Mai Gai Recipe,"
      7:03
    ",18K views,4 months ago
26,https://i.ytimg.com/vi/TWQ2IhOZAsw/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBHmmoAyJw5bvGqlePAmD8NqKzcfQ,/watch?v=TWQ2IhOZAsw,How to Cook Classic Braised Chinese Mushrooms w/ Spinach 蚝皇香菇扒菠菜 Chinese Vegetables Recipe,"
      5:30
    ",36K views,4 months ago
27,https://i.ytimg.com/vi/Cq_RGIhQZaE/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLB_Jc96B_Wk0LPiWEnuWVwdZWMoIQ,/watch?v=Cq_RGIhQZaE,Super Easy Steamed Fish w/ Garlic & Black Bean Sauce 蒜蓉黑豆酱蒸鱼 Chinese Food Recipe for Lunch or Dinner,"
      3:33
    ",28K views,4 months ago
28,https://i.ytimg.com/vi/CGmHRG9HEXg/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAa8v3Qu0MGQSm_eI9p7ck1Mga-nQ,/watch?v=CGmHRG9HEXg,So So Good! Sichuan Spicy Prawns w/ Chinese Leeks 四川虾炒大蒜 Easy Chinese Stir Fry Shrimp Recipe 哈哈大算,"
      5:49
    ",25K views,4 months ago
29,https://i.ytimg.com/vi/hpQ1ouAjLFk/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBGuJk0UMH7M_tJEPlBcrXeBbTu8w,/watch?v=hpQ1ouAjLFk,Make Chinese Soup Like a Pro! Abalone & Winter Melon Soup 鲍鱼冬瓜老火汤 Recipe for Reunion Dinner,"
      6:11
    ",23K views,4 months ago
30,https://i.ytimg.com/vi/kQlRtj8mRNY/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDKqjwVdt3iJQD2txp_RyPebUcSYA,/watch?v=kQlRtj8mRNY,Quick & Easy Restaurant Style Nyonya Steamed Fish (Tangy) 娘惹蒸鱼 Super Easy Recipe for Beginners,"
      5:44
    ",37K views,4 months ago
31,https://i.ytimg.com/vi/qofUvRDWBtU/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAVDrp8ZSYHdKI6Q1J5SAOmJnyrzQ,/watch?v=qofUvRDWBtU,Mind-blowing! Pressure Cooked Fall-Off-the-Bone Asian Style Ribs Airfryer & Oven BBQ Friendly Recipe,"
      6:39
    ",11K views,4 months ago
32,https://i.ytimg.com/vi/2SbCwnn4TWA/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD-QufZZXH44VziuFGu99voCpzGiA,/watch?v=2SbCwnn4TWA,How to Make Collagen-Rich Basic Chicken Stock / Broth for Any Dish 自制美颜鸡汤 Chinese Chicken Stock,"
      3:43
    ",14K views,4 months ago
33,https://i.ytimg.com/vi/758pEgQ-aag/hqdefault.jpg?sqp=-oaymwEZCPYBEIoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLD7uUQLPQ683E2OfrV3eULFmBkuOA,/watch?v=758pEgQ-aag,Part II: Diabetes-Friendly Recipes for a Nutritious Breakfast,"
      9:29
    ",4.6K views,4 months ago
